Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1763274 ,328.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d55,,328.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d55
ERR1763275 ,329.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d56; mouse gut metagenome,,329.MF.Mfec.CRON2.M2.CRONdiet.Restricted.d56; mouse gut metagenome
ERR1763277 ,330.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d0.5,,330.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d0.5
ERR1763278 ,331.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d1,,331.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d1
ERR1763279 ,332.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d1.5; mouse gut metagenome,,332.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d1.5; mouse gut metagenome
ERR1763280 ,333.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d2; mouse gut metagenome,,333.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d2; mouse gut metagenome
ERR1763281 ,334.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d8,,334.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d8
ERR1763282 ,335.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d15,,335.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d15
ERR1763283 ,336.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d22,,336.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d22
ERR1763284 ,337.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d29; mouse gut metagenome,,337.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d29; mouse gut metagenome
ERR1763285 ,338.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d36,,338.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d36
ERR1763286 ,339.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d48; mouse gut metagenome,,339.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d48; mouse gut metagenome
ERR1763288 ,340.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d54,,340.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d54
ERR1763289 ,341.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d56,,341.MF.Mfec.CRON2.M3.CRONdiet.AdLib.d56
ERR1763290 ,342.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d0.5,,342.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d0.5
ERR1763291 ,343.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d1,,343.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d1
ERR1763292 ,344.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d1.5; mouse gut metagenome,,344.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d1.5; mouse gut metagenome
ERR1763293 ,345.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d2,,345.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d2
ERR1763294 ,346.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d8,,346.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d8
ERR1763295 ,347.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d15,,347.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d15
ERR1763296 ,348.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d22,,348.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d22
ERR1763297 ,349.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d29,,349.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d29
ERR1763299 ,350.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d36,,350.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d36
ERR1763300 ,351.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d48,,351.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d48
ERR1763301 ,352.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d54; mouse gut metagenome,,352.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d54; mouse gut metagenome
ERR1763302 ,353.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d55,,353.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d55
ERR1763303 ,354.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d56,,354.MF.Mfec.CRON3.M1.AMERdiet.AdLib.d56
ERR1763304 ,355.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d0.5,,355.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d0.5
